date,hub,vehicle_type,deliveries_count,on_time_pct,avg_delivery_time_min,fuel_cost_sar,customer_rating
2025-01-01,Riyadh-Hub,Motorbike,766,93.2,19.0,1652.95,4.45
2025-01-01,Riyadh-Hub,Van,467,93.2,21.1,1889.37,4.35
2025-01-01,Riyadh-Hub,Truck,124,93.2,40.5,951.07,4.5
2025-01-01,Jeddah-Hub,Motorbike,630,88.0,23.9,1303.48,4.27
2025-01-01,Jeddah-Hub,Van,351,88.0,30.6,1485.68,4.05
2025-01-01,Jeddah-Hub,Truck,107,88.0,54.2,826.2,4.04
2025-01-01,Dammam-Hub,Motorbike,308,89.3,22.0,626.04,4.13
2025-01-01,Dammam-Hub,Van,196,89.3,35.6,815.24,3.96
2025-01-01,Dammam-Hub,Truck,65,89.3,53.7,465.17,3.69
2025-01-01,Makkah-Hub,Motorbike,451,84.5,19.7,909.67,4.22
2025-01-01,Makkah-Hub,Van,289,84.5,47.5,1228.81,3.81
2025-01-01,Makkah-Hub,Truck,81,84.5,47.6,594.26,3.45
2025-01-01,Madinah-Hub,Motorbike,263,87.3,22.3,539.98,3.97
2025-01-01,Madinah-Hub,Van,192,87.3,29.5,789.29,3.99
2025-01-01,Madinah-Hub,Truck,51,87.3,53.6,397.86,3.78
2025-01-02,Riyadh-Hub,Motorbike,675,91.4,28.6,1382.08,3.61
2025-01-02,Riyadh-Hub,Van,446,91.4,34.4,1876.89,4.2
2025-01-02,Riyadh-Hub,Truck,143,91.4,42.2,1052.16,3.55
2025-01-02,Jeddah-Hub,Motorbike,663,85.2,30.3,1414.86,3.33
2025-01-02,Jeddah-Hub,Van,348,85.2,38.2,1419.58,3.7
2025-01-02,Jeddah-Hub,Truck,112,85.2,48.5,875.35,4.17
2025-01-02,Dammam-Hub,Motorbike,325,92.9,28.3,701.77,3.89
2025-01-02,Dammam-Hub,Van,222,92.9,37.3,903.91,4.06
2025-01-02,Dammam-Hub,Truck,60,92.9,42.8,435.58,4.48
2025-01-02,Makkah-Hub,Motorbike,463,86.0,30.8,1016.49,4.21
2025-01-02,Makkah-Hub,Van,292,86.0,34.0,1200.18,4.35
2025-01-02,Makkah-Hub,Truck,73,86.0,47.6,534.45,4.13
2025-01-02,Madinah-Hub,Motorbike,267,89.6,23.9,571.67,4.1
2025-01-02,Madinah-Hub,Van,192,89.6,32.0,782.11,3.83
2025-01-02,Madinah-Hub,Truck,48,89.6,39.7,377.85,4.52
2025-01-03,Riyadh-Hub,Motorbike,619,88.1,29.0,1267.65,3.93
2025-01-03,Riyadh-Hub,Van,358,88.1,44.6,1458.52,4.17
2025-01-03,Riyadh-Hub,Truck,108,88.1,51.0,791.49,4.48
2025-01-03,Jeddah-Hub,Motorbike,448,84.3,33.7,986.91,3.79
2025-01-03,Jeddah-Hub,Van,333,84.3,34.0,1431.35,4.23
2025-01-03,Jeddah-Hub,Truck,92,84.3,60.0,699.16,3.99
2025-01-03,Dammam-Hub,Motorbike,259,95.6,25.2,562.52,4.09
2025-01-03,Dammam-Hub,Van,174,95.6,34.1,728.94,3.92
2025-01-03,Dammam-Hub,Truck,46,95.6,47.7,355.24,4.17
2025-01-03,Makkah-Hub,Motorbike,311,83.3,37.8,685.82,4.19
2025-01-03,Makkah-Hub,Van,209,83.3,33.1,885.82,3.8
2025-01-03,Makkah-Hub,Truck,66,83.3,52.7,506.92,4.25
2025-01-03,Madinah-Hub,Motorbike,222,92.3,27.6,447.47,3.62
2025-01-03,Madinah-Hub,Van,136,92.3,36.9,560.69,3.56
2025-01-03,Madinah-Hub,Truck,42,92.3,38.4,309.56,4.17
2025-01-04,Riyadh-Hub,Motorbike,717,90.7,25.9,1447.05,3.77
2025-01-04,Riyadh-Hub,Van,516,90.7,28.8,2254.07,4.09
2025-01-04,Riyadh-Hub,Truck,138,90.7,42.1,1019.63,4.09
2025-01-04,Jeddah-Hub,Motorbike,590,89.7,20.8,1197.7,3.31
2025-01-04,Jeddah-Hub,Van,366,89.7,39.6,1582.68,4.05
2025-01-04,Jeddah-Hub,Truck,120,89.7,57.6,894.12,4.42
2025-01-04,Dammam-Hub,Motorbike,319,93.2,19.6,691.22,4.54
2025-01-04,Dammam-Hub,Van,199,93.2,34.5,831.76,4.25
2025-01-04,Dammam-Hub,Truck,60,93.2,48.7,464.65,4.36
2025-01-04,Makkah-Hub,Motorbike,402,83.5,26.8,846.91,4.02
2025-01-04,Makkah-Hub,Van,286,83.5,49.5,1169.86,4.11
2025-01-04,Makkah-Hub,Truck,79,83.5,56.4,606.66,3.54
2025-01-04,Madinah-Hub,Motorbike,306,88.0,28.2,679.77,4.44
2025-01-04,Madinah-Hub,Van,175,88.0,25.8,763.11,3.72
2025-01-04,Madinah-Hub,Truck,57,88.0,45.8,431.75,3.93
2025-01-05,Riyadh-Hub,Motorbike,707,91.6,25.0,1544.05,4.04
2025-01-05,Riyadh-Hub,Van,437,91.6,30.0,1769.89,4.29
2025-01-05,Riyadh-Hub,Truck,122,91.6,49.1,895.61,3.98
2025-01-05,Jeddah-Hub,Motorbike,631,93.3,21.6,1283.63,4.32
2025-01-05,Jeddah-Hub,Van,360,93.3,31.6,1532.83,4.1
2025-01-05,Jeddah-Hub,Truck,119,93.3,44.6,933.57,3.94
2025-01-05,Dammam-Hub,Motorbike,364,87.5,28.6,776.43,3.74
2025-01-05,Dammam-Hub,Van,200,87.5,26.7,819.59,4.19
2025-01-05,Dammam-Hub,Truck,63,87.5,51.5,481.7,4.03
2025-01-05,Makkah-Hub,Motorbike,426,82.2,37.2,871.83,3.98
2025-01-05,Makkah-Hub,Van,269,82.2,37.3,1148.91,3.7
2025-01-05,Makkah-Hub,Truck,85,82.2,60.1,612.33,4.55
2025-01-05,Madinah-Hub,Motorbike,279,90.7,33.6,598.62,3.67
